	Me	es	sd	da	am	me	s 	 e	et	t 	 M	ss	si	ie	eu	ur	rs	s,	,E	En	n 	 c	ce	e 	 j	jo	ou	r 	 o	où	ù 	je	 p	pr	re	en	nd	ds	of	ff	fi	ic	ci	el	ll	le	em	nt	 m	 f	fo	on	nc
Me	0	0	415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
es	0	0	18	4	0	0	278	47	0	0	0	18	0	0	0	0	14	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sd	0	0	0	0	415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
da	0	0	0	0	0	25	0	51	0	0	0	0	0	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
am	0	27	0	0	249	0	0	0	27	0	0	0	0	0	0	0	27	0	55	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
me	0	0	89	0	0	0	78	11	11	0	22	11	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s 	2	37	20	50	22	7	0	5	12	2	12	0	0	12	15	0	2	0	25	5	70	5	12	0	5	27	0	7	15	20	0	0	0	12	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0
 e	0	0	35	0	0	0	0	233	0	29	0	0	0	81	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
et	0	0	0	0	8	0	347	42	0	0	8	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t 	3	16	16	75	23	6	0	16	9	9	9	0	0	9	19	0	3	0	49	6	65	0	6	0	0	26	0	26	0	6	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0
 M	0	207	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ss	0	94	0	0	56	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
si	0	79	0	39	0	0	276	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ie	0	0	0	17	0	0	69	0	0	34	34	17	0	224	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eu	0	0	6	0	0	0	12	94	0	0	144	0	0	0	0	0	0	0	44	0	25	0	0	0	0	0	0	0	0	12	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ur	0	21	112	21	21	7	196	0	14	0	0	7	0	0	0	0	7	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rs	0	19	0	0	0	0	296	0	0	0	0	39	0	0	0	0	19	0	0	0	0	0	19	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s,	0	0	0	0	0	0	377	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
,E	0	0	0	0	0	0	0	0	0	0	0	0	0	415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
En	0	0	0	0	0	0	415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
n 	0	0	27	92	18	18	0	0	9	0	9	0	0	9	27	0	36	0	36	0	64	0	0	0	0	9	0	46	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
 c	0	130	0	0	15	0	0	0	7	0	15	0	0	0	0	0	184	0	0	0	7	0	7	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ce	0	0	37	0	0	0	261	23	0	13	13	27	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	9	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e 	0	32	22	50	12	17	0	7	4	1	17	0	1	9	18	17	0	0	33	12	62	1	1	2	4	39	0	12	2	18	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	2
 j	0	145	0	0	186	0	0	0	0	41	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jo	0	0	0	0	0	0	0	0	0	415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ou	0	0	67	7	0	0	7	15	0	0	203	0	0	0	0	37	0	0	0	0	7	0	0	0	7	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
r 	0	29	0	59	14	14	0	14	14	7	7	0	0	0	7	0	7	0	22	7	148	0	0	0	0	22	0	7	0	14	0	0	0	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 o	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	184	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
où	0	0	0	0	0	0	415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ù 	0	103	0	0	0	0	0	103	0	0	0	0	0	0	103	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
je	0	0	0	0	0	0	415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 p	0	98	0	0	143	0	0	0	0	0	57	0	0	0	0	0	65	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pr	0	98	0	0	0	0	0	0	59	0	0	0	0	0	0	0	158	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0
re	0	0	52	0	0	13	204	13	0	19	0	26	0	46	0	0	0	0	13	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
en	0	0	53	22	3	0	53	152	22	0	0	3	0	15	68	0	7	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
nd	0	169	18	0	75	0	18	0	37	0	37	18	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ds	0	0	0	0	0	0	415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
of	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ff	0	59	0	0	0	0	0	0	177	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fi	0	0	37	0	75	0	0	0	0	0	37	0	0	0	188	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ic	0	177	0	0	29	0	0	118	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ci	0	113	0	75	75	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	37	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
el	0	46	46	0	0	0	23	0	0	0	0	23	0	0	0	0	23	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
